##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
4.06593e+01,4.91148e+02,9.88354e-01
4.07592e+01,4.98141e+02,9.88433e-01
4.08591e+01,4.82396e+02,9.88472e-01
4.09590e+01,4.50928e+02,9.88548e-01
4.10589e+01,4.40354e+02,9.88583e-01
4.11588e+01,4.44350e+02,9.88654e-01
4.12587e+01,4.48053e+02,9.88689e-01
4.13586e+01,4.51550e+02,9.88761e-01
4.14585e+01,4.47739e+02,9.88797e-01
4.15584e+01,4.38748e+02,9.88868e-01
4.16583e+01,4.17231e+02,9.88902e-01
4.17582e+01,3.86762e+02,9.88967e-01
4.18581e+01,3.80386e+02,9.88998e-01
4.19580e+01,3.91375e+02,9.89059e-01
4.20579e+01,3.98314e+02,9.89090e-01
4.21578e+01,4.02310e+02,9.89154e-01
4.22577e+01,4.03423e+02,9.89186e-01
4.23576e+01,4.02424e+02,9.89251e-01
4.24575e+01,3.93381e+02,9.89282e-01
4.25574e+01,3.78396e+02,9.89344e-01
4.26573e+01,3.64557e+02,9.89374e-01
4.27572e+01,3.51570e+02,9.89432e-01
4.28571e+01,3.52562e+02,9.89460e-01
4.29570e+01,3.64050e+02,9.89517e-01
4.30569e+01,3.67010e+02,9.89546e-01
4.31568e+01,3.63514e+02,9.89604e-01
4.32567e+01,3.61150e+02,9.89633e-01
4.33566e+01,3.59652e+02,9.89691e-01
4.34565e+01,3.62952e+02,9.89719e-01
4.35564e+01,3.69945e+02,9.89778e-01
4.36563e+01,3.68781e+02,9.89807e-01
4.37562e+01,3.61288e+02,9.89866e-01
4.38561e+01,3.49311e+02,9.89894e-01
4.39560e+01,3.33827e+02,9.89949e-01
4.40559e+01,3.32865e+02,9.89976e-01
4.41558e+01,3.43354e+02,9.90029e-01
4.42557e+01,3.49948e+02,9.90057e-01
4.43556e+01,3.53444e+02,9.90113e-01
4.44555e+01,3.41968e+02,9.90140e-01
4.45554e+01,3.18491e+02,9.90194e-01
4.46553e+01,2.99712e+02,9.90219e-01
4.47552e+01,2.84727e+02,9.90266e-01
4.48551e+01,2.84607e+02,9.90289e-01
4.49550e+01,2.96595e+02,9.90334e-01
4.50549e+01,3.02823e+02,9.90358e-01
4.51548e+01,3.04321e+02,9.90407e-01
4.52547e+01,3.04727e+02,9.90431e-01
4.53546e+01,3.04227e+02,9.90480e-01
4.54545e+01,2.97193e+02,9.90504e-01
4.55544e+01,2.84706e+02,9.90551e-01
4.56543e+01,2.90393e+02,9.90573e-01
4.57542e+01,3.11372e+02,9.90621e-01
4.58541e+01,3.08568e+02,9.90645e-01
