# NAME: MORFEO_t5000.txt
# DATE: 07/05/2025
# VERSION: 1.0
# ORIGIN: MORFEO_transmission.xlsx
#
# Wavelength[um],emissivity
8.669999999999998819e-01,4.5889E-01
8.679999999999998828e-01,4.5320E-01
8.689999999999998836e-01,4.4700E-01
8.699999999999998845e-01,4.4065E-01
8.709999999999998854e-01,4.3417E-01
8.719999999999998863e-01,4.2864E-01
8.729999999999998872e-01,4.2529E-01
8.739999999999998881e-01,4.2618E-01
8.749999999999998890e-01,4.2757E-01
8.759999999999998899e-01,4.2976E-01
8.769999999999998908e-01,4.3165E-01
8.779999999999998916e-01,4.3449E-01
8.789999999999998925e-01,4.4000E-01
8.799999999999998934e-01,4.4573E-01
8.809999999999998943e-01,4.4973E-01
8.819999999999998952e-01,4.5207E-01
8.829999999999998961e-01,4.5072E-01
8.839999999999998970e-01,4.4665E-01
8.849999999999998979e-01,4.4287E-01
8.859999999999998987e-01,4.3799E-01
8.869999999999998996e-01,4.3240E-01
8.879999999999999005e-01,4.3556E-01
8.889999999999999014e-01,4.3792E-01
8.899999999999999023e-01,4.3964E-01
8.909999999999999032e-01,4.4114E-01
8.919999999999999041e-01,4.4172E-01
8.929999999999999050e-01,4.4287E-01
8.939999999999999059e-01,4.4348E-01
8.949999999999999067e-01,4.4227E-01
8.959999999999999076e-01,4.4102E-01
8.969999999999999085e-01,4.3915E-01
8.979999999999999094e-01,4.3754E-01
8.989999999999999103e-01,4.3705E-01
8.999999999999999112e-01,4.3671E-01
9.009999999999999121e-01,4.3716E-01
9.019999999999999130e-01,4.3735E-01
9.029999999999999138e-01,4.3658E-01
9.039999999999999147e-01,4.3511E-01
9.049999999999999156e-01,4.3257E-01
9.059999999999999165e-01,4.2925E-01
9.069999999999998064e-01,4.2418E-01
9.079999999999998073e-01,4.2445E-01
9.089999999999998082e-01,4.2617E-01
9.099999999999998090e-01,4.2694E-01
9.109999999999998099e-01,4.2609E-01
9.119999999999998108e-01,4.2477E-01
9.129999999999998117e-01,4.2350E-01
9.139999999999998126e-01,4.2231E-01
9.149999999999998135e-01,4.2076E-01
9.159999999999998144e-01,4.1948E-01
9.169999999999998153e-01,4.1913E-01
9.179999999999998161e-01,4.1890E-01
9.189999999999998170e-01,4.1892E-01
9.199999999999998179e-01,4.1861E-01
9.209999999999998188e-01,4.1851E-01
9.219999999999998197e-01,4.1767E-01
9.229999999999998206e-01,4.1475E-01
